Country Name,RATE,REFG,MIL.XPAND,GDP,URBAN,STA,TECH,NET.USER,ADO,PM2.5,AGEDEP
Panama,95.0382309,69,0,13268.11375,66.592,58,0.000467016,51.20542499,73.7318,12.6,53.36680557
Peru,94.3743515,3599,1.606484025,6027.125855,78.609,53.2,4.737721254,40.9,48.4478,27.1,53.18806328
Philippines,96.61802673,593,1.323290545,2904.202082,44.373,70.8,53.0641174,40.7,62.6538,22.8,57.55023434
Palau,99.52396393,2,,13498.66141,87.071,100,40.67100768,,,,
Papua New Guinea,63.43349075,339,,,13.005,13.3,,7.9,54.432,10.4,67.08963996
Poland,99.78742218,1297,2.192511436,12554.54755,60.539,96.7,8.777098319,67.997,13.135,23.8,43.84267732
Pre-demographic dividend,,7659106,2.159964076,1521.15772,38.59497939,21.92169492,,21.0710908,109.5950891,34.48208255,89.53990515
Puerto Rico,93.329422,0,,,93.6,99.3,,79.46876883,40.6692,16.7,50.02424704
"Korea, Dem. People¡¯s Rep.",99.99923706,1103,,,60.875,72.5,,,0.5222,27.7,44.31443847
Portugal,95.42810822,28,1.852013447,19222.15008,63.468,99.8,4.585309246,68.6329,9.4496,9.5,53.47967567
Paraguay,95.53610992,91,1.705137014,4080.951448,59.666,78.4,5.680592694,44.38159692,56.8552,14.3,56.62760289
West Bank and Gaza,96.66803741,97973,,2866.8001,75.252,90.2,,57.42419241,58.1028,20.1,76.00186901
Pacific island small states,,1027,,3644.408612,37.73988081,56.54768845,4.403710431,29.78284146,38.6787821,5.515295441,64.22831623
Post-demographic dividend,,394767,2.23030846,40110.67525,80.97085963,98.58742046,18.3890684,79.77495336,13.22923845,12.71041383,52.48535688
French Polynesia,,,,,55.88,98.5,11.19751779,64.56020975,35.5862,,42.22968895
Qatar,97.75708771,20,,73653.39443,99.244,98,3.407507506,92.88482645,10.4832,104.2,20.05470618
Romania,98.75702667,1735,1.394271836,8972.922518,54.564,63.3,7.501692836,55.7632,34.034,19.2,48.88613107
Russian Federation,99.71956635,67050,5.008891223,9092.580536,74.008,58.7,13.76032041,73.41,22.7328,15.8,43.0978772
Rwanda,71.24349976,286366,1.156373137,697.3482281,28.811,62.9,12.98356429,18,25.6248,41.3,78.06861621
South Asia,,3068661,2.33611953,1542.209682,33.02821531,35.0641753,6.871718903,23.62794112,32.87234931,71.79343677,54.62267349
Saudi Arabia,94.84236908,701,13.49622519,20481.74532,83.13,100,0.774160544,69.6162358,8.406,102.9,45.8668307
Sudan,58.60131836,628770,,2414.723601,33.806,,,26.61492855,72.05,42.3,78.03512278
Senegal,55.62485123,21280,1.578459304,899.5798795,43.721,33.8,3.617890641,21.69026413,76.8768,36.4,87.60184833
Singapore,96.77462769,54,3.216608938,52888.74467,100,,49.27542568,82.103,3.7956,17.7,37.40732456
Solomon Islands,,71,,1934.856293,22.329,15,2.799395181,10.00046498,47.3794,5.2,75.08272756
Sierra Leone,48.43190002,4895,0.820220472,653.1318159,39.942,6.9,0.414848243,2.5,116.7324,15,81.92542257
El Salvador,87.64821625,14778,0.863235101,4219.35033,66.726,60,4.38507398,26.91507533,64.9156,35.5,54.32195105
San Marino,,1,,,94.19,,,,,,
Somalia,,1123052,3.54E-05,549.2669766,39.551,,,1.76,102.6168,16.7,98.13399143
Serbia,98.00289154,38637,1.948723272,5235.142207,55.553,94.2,,65.3170254,18.6946,20.8,50.1111308
Sub-Saharan Africa (excluding high income),,4860592,1.203605784,1587.187548,37.73786329,23.30968995,,22.38466453,100.4473843,32.32589147,86.12643598
South Sudan,31.97624969,778697,10.92851451,730.5801009,18.804,4.5,,17.92978723,63.4292,28.4,83.65608579
Sub-Saharan Africa,,4860617,1.203659793,1588.477391,37.73936207,23.31514156,,22.38805971,100.4448208,32.32407002,86.12248185
Small states,,40111,,11655.24392,53.89489269,55.84661028,6.995955036,41.93455097,58.75490175,26.31831365,58.01188668
Sao Tome and Principe,91.74710846,22,,1669.063268,65.092,23.3,42.25708043,25.8222488,83.456,12.6,84.20624782
Suriname,95.53898621,19,,9485.319244,66.043,61.4,,42.76382778,45.7392,15.2,50.75603607
Slovak Republic,,326,1.114562145,16088.27759,53.598,98.2,10.2880693,85.01951406,19.9398,20.1,40.78301525
Slovenia,99.71475983,23,0.951425735,20726.53989,49.65,99.1,6.420656782,73.0987,3.6332,19.9,48.70509704
Sweden,,16,1.084892335,50579.67365,85.815,99.6,14.25653379,90.6102,5.695,6.1,59.30390803
Swaziland,87.47019196,220,1.785316139,3200.143018,21.308,56,,30.38270066,67.2336,17.8,69.31298373
Sint Maarten (Dutch part),,0,,,100,,,,,,
Seychelles,95.32108307,20,1.25730384,15476.01944,53.887,98.4,7.205510737,58.11869757,56.8962,12.7,43.52145097
Syrian Arab Republic,86.30393219,4872585,,,57.656,95.1,,29.97979724,38.8766,35.8,70.03046916
Turks and Caicos Islands,,14,,,92.186,,,,,,
Chad,40.01824188,14940,2.02944821,775.6950905,22.471,6.5,,2.700000001,129.752,39.6,100.6866607
East Asia & Pacific (IDA & IBRD countries),,1022194,1.854972846,6557.181062,52.83981632,63.50341669,27.14364558,44.98204897,23.49029616,46.22365985,40.46839373
Europe & Central Asia (IDA & IBRD countries),,615724,3.258480035,7538.104634,64.64637633,82.83596407,10.34024139,60.71874648,24.66139169,23.019275,46.0297552
Togo,66.53759003,8785,1.711812102,559.6358767,39.964,2.9,0.41110012,7.12,92.0646,26,81.83107627
Thailand,93.98301697,222,1.451659633,5814.769764,50.374,96.1,21.44172319,39.31612674,44.6052,25.8,39.24210398
Tajikistan,99.78105164,794,,925.9118877,26.782,95.5,,18.98,37.7858,41.3,60.88508034
Turkmenistan,99.69293213,455,,6672.477544,50.037,,,14.99677482,16.0482,26.7,47.88324892
Latin America & the Caribbean (IDA & IBRD countries),,440579,1.281246438,8284.729069,79.87520332,63.38481506,11.55815668,54.70371768,64.06164872,17.27705035,50.34808326
Timor-Leste,64.06613922,20,2.563537711,1157.992956,32.77,26.8,,13.4,45.482,14.4,92.27496378
Middle East & North Africa (IDA & IBRD countries),,4695663,4.122853568,,60.32822777,85.99892178,,37.95898158,41.83396831,53.74768916,57.31850023
Tonga,99.39785767,24,,4098.543929,23.712,89,,44.99951883,14.8596,3.9,74.32925027
South Asia (IDA & IBRD),,3068661,2.33611953,1542.209682,33.02821531,35.0641753,6.871718903,23.62794112,32.87234931,71.79343677,54.62267349
Sub-Saharan Africa (IDA & IBRD countries),,4860617,1.203659793,1588.477391,37.73936207,23.31514156,,22.38805971,100.4448208,32.32407002,86.12248185
Trinidad and Tobago,98.9695816,369,1.079371468,17321.88468,8.445,91.5,,69.19847061,30.8354,13.1,43.24948865
Tunisia,81.05419159,1568,2.277123055,3872.512084,66.842,79.8,6.327421481,48.51983599,6.8052,43.2,44.82013584
Turkey,95.68810272,59559,2.127696664,9125.68759,73.397,85.5,2.159703396,53.74497914,26.811,35.6,49.72123101
Tuvalu,,2,,3295.005823,59.717,,,42.7,,,
Tanzania,80.35949707,6221,1.124107002,878.9751055,31.608,8.3,0.759900485,5.355144064,117.7206,22,93.80093419
Uganda,73.80983734,6316,1.199243826,705.2925695,16.101,17.3,1.82776969,19.22109963,108.9456,57.2,102.3453678
Ukraine,99.76410675,321300,3.997306333,2114.954716,69.695,92.6,7.268416258,49.26,23.351,16.6,43.33590111
Upper middle income,,1323769,2.080682383,7900.811645,64.12197458,66.85225344,20.70526472,52.13786916,32.47500421,40.8694323,42.61358514
Uruguay,98.44210052,91,1.800773252,15573.90092,95.311,92.6,13.84634852,64.6,55.7796,11.2,55.88340844
United States,,4832,3.304516449,56115.71843,81.617,100,19.00799373,74.55,21.1538,8.3,50.91244992
Uzbekistan,99.99519348,4205,,2132.070368,36.365,100,,42.8,17.6002,33,49.65053411
